性別,年齡,悲傷- 患者反應1,悲傷- 患者反應2,悲傷- 患者反應3,悲傷- 這是由特別事件引起的嗎？,悲傷- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,悲傷- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 謝謝。現在我會問一些問題以了解您的情況。,悲傷- 您是否對某人有強烈的感受或表達以下任何情緒：,悲傷- 您認為您應該成為別人的救星嗎？,悲傷- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,悲傷- 您覺得您在試圖控制某人嗎？,悲傷- 當出現問題時，您是否總是責怪和指責自己？,悲傷- 在之前的對話中，您是否考慮過其他提出的觀點？,悲傷- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,憤怒- 患者反應1,憤怒- 患者反應2,憤怒- 患者反應3,憤怒- 這是由特別事件引起的嗎？,憤怒- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,憤怒- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 謝謝。現在我會問一些問題以了解您的情況。,憤怒- 您是否對某人有強烈的感受或表達以下任何情緒：,憤怒- 您認為您應該成為別人的救星嗎？,憤怒- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,憤怒- 您覺得您在試圖控制某人嗎？,憤怒- 當出現問題時，您是否總是責怪和指責自己？,憤怒- 在之前的對話中，您是否考慮過其他提出的觀點？,憤怒- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,焦慮- 患者反應1,焦慮- 患者反應2,焦慮- 患者反應3,焦慮- 這是由特別事件引起的嗎？,焦慮- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,焦慮- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 謝謝。現在我會問一些問題以了解您的情況。,焦慮- 您是否對某人有強烈的感受或表達以下任何情緒：,焦慮- 您認為您應該成為別人的救星嗎？,焦慮- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,焦慮- 您覺得您在試圖控制某人嗎？,焦慮- 當出現問題時，您是否總是責怪和指責自己？,焦慮- 在之前的對話中，您是否考慮過其他提出的觀點？,焦慮- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,快樂- 患者反應1,快樂- 患者反應2,快樂- 患者反應3,快樂- 那很好！讓我推荐一個您可以嘗試的協議。,所有情緒- 根據您所說的，我相信您正在感受{}。這個對嗎？,所有情緒- 我很抱歉。請從下面的情緒中選擇最能反映您感受的情緒：,所有情緒- 感謝您的參與。再見,所有情緒- 這是我的建議，請選擇您想嘗試的協議,所有情緒- 請現在嘗試通過此協議。完成後，按“繼續”,所有情緒- 採取此協議後，您感覺更好還是更糟？,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺好多了）,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺更糟）
女性,40-49,我聽說我爺爺感染了新冠肺炎，正在住院。,我最好的朋友這週搬去了很遠的地方。,我的車需要大修，我破產了。,,,,,,,您是否覺得處於無法幫助他人的境地很困難？,你是否覺得自己的情緒是他人行為的原因？,你想控制局面，還是控制另一個人？,如果我可以問這個，您是否總是認為發生的任何事情都是自己的錯？,你有沒有想過其他人會如何看待這種情況？,請問你是在家裡、工作上還是和朋友相處上有問題？,我的經理罵我所以我很生氣,我父母和我吵架所以我很生氣,我的朋友讓我失望所以我很生氣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我不舒服，我和我女朋友今天分手了。,我真的很難過，因為我和我哥哥吵架了。,我現在很傷心，因為我最好的朋友對我撒了謊。,,,,,,,您是否認為您總是必須將人們從麻煩中解救出來，即使他們是自己創造的？,你是否認為，也許，你沒有對自己的感受承擔全部責任，這導致你對他人進行猛烈抨擊？,有沒有可能你只是想控制另一個人的所有想法和行為？,你是否總是為生活中發生的任何負面事情負責，即使你不負責任？,你會說你曾經能夠真正走出自己，從不同的角度思考一個情況嗎？,在您的個人生活中是否有任何事情讓您有這種感覺？,我現在很生氣，因為我沒有通過考試,我很生氣，因為我打破了一個盤子，碎片散落在地板上。,我很生氣，因為我最好的朋友沒有出現在我的生日聚會上。,,,,,,,客觀地看待自己，您是否覺得自己總是需要成為自己故事的主角，並幫助所有人擺脫負面情況？,也許，您現在正在逃避對自己的行為負責，而只是將自己的感受歸咎於他人？,你認為你有可能只是想控制另一個人的一舉一動嗎？,你認為你總是為不是你的錯的事情承擔責任嗎？,當談到你的談話時，你認為自己是一個傾聽其他觀點的人嗎？,你覺得你現在的個人生活不穩定嗎？您與家人或朋友的關係是否岌岌可危？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,感覺一切都沒有希望了。,我當然不是處於最佳狀態。,今天不是個好日子。,,,,,,,你是否覺得肩上有一份拯救他人的重擔？,如果我問，你今天的感受是否會責怪別人？,您現在是否因試圖控制您無法控制的某人或某事而感到沮喪？,你會說你經常對自己太苛刻嗎？,請問你覺得可以考慮別人的觀點嗎？,我希望你不介意我問，但你是否面臨困難時期？,我很生氣。,我感覺準備隨時鬥爭的緊張。,我現在對一切都很生氣。,,,,,,,如果我問你這個，你覺得救人是你的任務嗎？,謝謝你讓我知道。你覺得其他人讓你有這種感覺嗎？,你想控制一個不合作的人嗎？,當壞事發生時，你總是生自己的氣嗎？,你會說你一般都會聽別人的意見嗎？,如果我問，你現在是否在為個人問題而苦苦掙扎？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,不好。我的狗今天被安樂死了。,我的母親剛剛去世，我無法停止哭泣。,我覺得沒有人愛我。,,,,,,,你覺得你讓某人失望了嗎？,你覺得別人在試圖傷害你嗎？,你有沒有擔心你可能會把你的負面情緒發洩到別人身上？,偶爾為我們的問題責備自己是正常的，但我們應該小心不要把它變成一種破壞性的習慣。你有沒有註意到你總是為任何出錯的事情責備自己？,你有沒有想過擁有一個不同於你自己的觀點會是什麼感覺？,您現在是否在與他人的關係中遇到重大困難或挑戰？,一個白痴差點造成車禍，讓我很生氣。,我對我最好的朋友對我說的話感到不安。,我現在真的很生氣。我剛剛因為工作中的晉升而被拒絕，這是因為我的一位同事認為我的想法值得稱讚。,,,,,,,有時，當我們生氣時，是因為我們想幫助別人，但我們覺得我們做不到，或者他們不讓我們做。你是否覺得在你的生命中，有一個你想要拯救或拯救的人？,你覺得有人正在或試圖傷害你嗎？,您是否擔心可能會將這些憤怒情緒發洩到某人身上，並試圖控制它們？,當發生傷害我們的事情時責備自己是很正常的，但如果我們總是這樣做，它可能會積聚成非常憤怒的情緒。你認為你總是為每一個錯誤都責備自己嗎？,當發生讓你生氣的事情時，你有沒有想過替別人著想？,很抱歉你生氣了，我想知道這是否可能是更大事情的徵兆。您最近生活中是否發生了其他重大困難？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,今天真的有點沉重。,不太好，失望，沮喪。,今天有點感覺烏雲籠罩著我。,,,,,,,你有沒有感覺到或想到任何讓你有想要拯救別人的衝動的事情？,你會說你有這些情緒的原因完全是因為別人嗎？,您是否有任何想法可以控制他人或試圖控制他們？,你會說當出現問題時，你覺得責任總是在你身上嗎？,你有沒有想過別人的觀點，你有沒有花時間去探索他們？,我想知道現在是否有任何事情感覺比平常大。您是否覺得自己正面臨個人危機？,我覺得很可怕，很生氣，很可恨。,我感到很憤怒，好像我什至無法直視。,我感到很生氣，就像生活是不公平的，我對此很無助。,,,,,,,帶著這種感覺，你有沒有想過救人？,好的，那麼你對周圍人的感覺呢？你會說你是在這種情況下遇到麻煩的人，完全是別人的錯嗎？,好的，然後你想如何表現。現在有沒有想要嘗試控制你生活中的某個人的衝動？,如何對你生活中發生的事情負責。你是否覺得自己總是要為出錯的事情負責？,回想一下你最近的談話，你還記得別人的想法嗎，你有沒有進一步考慮過？,是不是感覺現在有什麼大事正在發生，比如個人危機？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我今天感覺不太好。,我很難過。我的心碎了。,這對我來說不是一個好時機。,,,,,,,你認為你需要成為別人的救星嗎？,在這種情況下，您是否覺得自己是受害者，將自己的感受歸咎於其他人？,老實說，您認為控制某人可以嗎，或者您會這樣做嗎？,當事情出錯時，你是否總是不斷地責備和指責自己，即使在內心深處你能認識到這不是你自己的錯？,在之前的談話中，你是否覺得自己一直能夠考慮不同的觀點？,謝謝你。你會說你在個人生活中遇到困難嗎？,我不好。我不知道為什麼這一切都發生在我身上。,就像我需要冷靜,生氣的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我很沮喪，感覺我沒有未來,我很痛苦，我已經病了很多年，我找不到治療方法,我很鬱悶，一直找不到女朋友,,,,,,,你相信拯救別人的生命會讓你對自己感覺更好嗎？,有沒有人應該為您所感受到的疾病負責？,在內心深處，當你可以控製或操縱別人做你想做的事時，你會感覺良好嗎？,請問您是否總是為生活中的所有錯誤而責備自己？,為了解決或減輕你的問題，你是否考慮過在之前的談話中可能向你提出的其他人的觀點？,您是否與某些人（例如同事、朋友或家人）遇到過私人問題？你不能滿足自己或他人的期望嗎？,我真的很生氣，他們在學校取笑我，但我對此無能為力,我很生氣，我工作組的人無緣無故地排斥我,我太可恨了，我最信任的人以我無法想像的方式背叛了我,,,,,,,你相信幫助或拯救某人會讓你更平靜嗎？,如果我問，你認為你感到這種憤怒是別人的錯嗎？,你認為你可能需要控制某人，讓他們做或說你想要的，以減少憤怒嗎？,你是否總是因為發生在你身上的負面事情而對自己感到內疚或生氣？,您是否考慮過可以改變您對當前狀況的看法的各種觀點和觀點？,您是否與某些人、家人或朋友有重大的個人問題？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我很沮喪。,我完全感覺很糟糕,我度過了最糟糕的一天,,,,,,,我想更好地理解為什麼你現在正在經歷這種消極的感覺。你覺得你需要拯救別人嗎？,你會因為你目前的情緒而責怪別人嗎？,難道你現在正試圖接管別人？,你是否總覺得自己是一切出錯的原因？,你會說你是那種在談話中很樂意考慮別人意見的人嗎？,您是否擔心您與親近的人之間的任何個人問題？,我為今天發生的事情感到非常生氣。,我對我朋友的行為感到非常惱火。,我對我伴侶的行為方式感到惱火。,,,,,,,會不會因為不幫助別人而生氣？,你是否因為感到惱火而責怪某人？,當您生氣時，您是否經常發現自己試圖控制他人？,你是否總是為發生在你身上的壞事而生自己的氣？,在得出結論之前，您是否也傾向於包括其他人的觀點？,你是否因為個人的煩惱而生氣？你是在工作中還是在家裡與人打架？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,25-29,我感覺很糟,什麼都不好,我不好,,,,,,,你認為拯救別人是你的使命嗎？,其他人會因為你的心情不好而受到責備嗎？,你覺得有義務控制別人的行為嗎？,我想知道您是否認為出現問題時總是責怪自己。,你能自信地說你總是能夠考慮別人的觀點嗎？,你現在是否正在和其他人一起經歷微妙和困難的時刻？,我不好，我對我的搭檔很生氣，因為他說了一些令人惱火的句子,我今天不爽，我很生氣,我今天感到非常生氣,,,,,,,你相信拯救別人是你的責任嗎？,您是否感覺或相信其他人可能傷害了您？,你覺得有義務控制別人的態度嗎？,你總是為自己的錯誤責備自己嗎？,你有沒有嘗試過從另一個角度看待這種情況，以及你目前的情緒？,您是否與您所在環境中的人遇到了您似乎無法解決的問題？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我很失落,我情緒低落,我超級難過,,,,,,,你認為你應該為別人犧牲自己嗎？,謝謝，我明白了。如果我問這個，你覺得現在每個人都想找你嗎？,如果我問，你認為自己是那種總想掌權的人嗎？,如果我問，你是不是總覺得自己搞砸了？,你會考慮別人的想法，並採納他們的意見嗎？,你會不會說你現在的生活太混亂，而且變得勢不可擋？,我很生氣,我真的很不開心,我討厭一切,,,,,,,你覺得有必要為別人犧牲自己嗎？,你是否覺得現在所有的人和所有人都在反對你？,您是否感覺或願意控制他人？,無論發生什麼事，你總是覺得不對勁嗎？,你通常會考慮別人的想法，你重視他們嗎？,在危機的邊緣，您現在是否真的感到壓力很大？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我有過跟好的時候。我最近肯定有點發瘋。,老實說，不是很好。我的貓剛剛去世。,我快要熱淚盈眶了。我最近剛丟了工作，我快受不了這個壓力了。,,,,,,,你會說你傾向於幫助別人，甚至可能以犧牲自己的幸福為代價嗎？,你覺得把你的問題和感受歸咎於他人更容易還是更自然？,你有沒有覺得你需要控制別人的行為來應對？,你是否發現你似乎總是為出錯的事情責備自己，即使你無法控制它們？,您是否能夠真正考慮與您交談的人的觀點？,您是否覺得您目前正在經歷嚴重的個人困難，可能是與您的親人或朋友？,不是很好。最近似乎一切都讓我感到沮喪，我需要付出很多努力才能保持冷靜。,我不斷發現自己不由自主地握緊拳頭。我感覺我的神經被擊中了，我快要爆炸了。,我不能說我感覺很棒。我和以前一樣易怒，我害怕做或說一些我可能會後悔的事情。,,,,,,,您認為拯救或幫助周圍的人是您的責任嗎？,你會說你的感受可以歸因於別人嗎？,你認為你最近需要控制你的人際關係嗎？,您是否傾向於向內看並為出現的每個問題責備自己？,當你與他人交談時，你是否能夠認真傾聽並誠實地考慮他們的觀點？,您會說您目前正在經歷個人創傷，可能涉及您的親人或朋友嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,不太好。我的狗昨晚死了。,感覺不好。我媽媽昨晚住院了。,不太好。我期末考試不及格。,,,,,,,如果可以的話，您是否認為您可能正在嘗試成為別人的救星？,明白了，謝謝，那我再深入研究一下。在這種令人遺憾的情況下，您是否覺得自己是受害者？,謝謝你的回复，很有幫助。試著從外面看自己，你是否覺得你在控製或試圖控制別人的行為？,請問您是否一直認為自己是造成問題的主要原因？,謝謝你讓我知道。您是否相信您已經探索了所有選項，包括其他人可能向您建議的選項？,很抱歉讓您感到難過，為了幫助您，我想深入挖掘一下。如果你不介意我問一下，你正在經歷一場艱難的個人危機嗎？,極度憤怒！老婆離我而去！,糟糕的！我的室友偷了我的項鍊！,非常失望！我的老師錯誤地指責我作弊,,,,,,,感謝您的信任，感受您的感受是可以的。你相信你可以——或者應該——成為別人的救世主嗎？,感覺你的感覺是可以的。你相信你是你情緒如此低落的受害者嗎？,明白了，謝謝你覺得你可能試圖控制別人嗎？,謝謝，我明白了。你相信你是所有問題的根源嗎？,謝謝你讓我知道。你認為你已經考慮了所有的選擇，你可以從每個角度來看待你當前的情況嗎？,感謝您的答复。如果你不介意我問一下，你現在正在經歷個人危機嗎？你的人際關係或其他事情是否特別困難？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,60-69,我有過得更好的時候。,我無法停止哭泣。,彷彿有一朵烏雲籠罩著我。,,,,,,,您目前的擔憂是否與您想要幫助的人有關？,您是否覺得有人以任何方式傷害了您？,你是否覺得有人不接受你的權威，但他們應該接受？,當出現問題時，您是否覺得好像總是要責怪自己？,與您交流過的其他人可能提供了一些建議。其他人提出的任何建議對您有幫助嗎？,您是否會說您在與朋友或家人相處時遇到困難？,我非常生氣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
